product_id,product_name,main_category,discount_percentage,discount_group,rating,sentence,sentence_idx,span,polarity,aspect
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,45,30-50%,4.4,"i am using this on an old mac mini, since the broadcom proprietary drivers aren't available and the replacement b43 drivers don't allow for sufficient download speeds, at least in my experience.",0,download speeds,positive,performance
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,45,30-50%,4.4,"but even though i had never used dkms or iw before, the github repo along with the build tools available in the jammy repo made it easy enough to get the device working read the github readme .to be sure i first got the drivers working in a local ubuntu vm using guest additions to connect to the usb device directly from the guest os, which also worked.ultimately, i installed the os on the host and setup the drivers using usb tethering.",5,build tools,neutral,quality
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,45,30-50%,4.4,"i then got the same download speed using this device i was previously getting on my other network interfaces on windows and mac, but now on ubuntu.the device itself is a bit sensitive to the antenna direction when it comes to the impact on download speed.",6,download speed,neutral,performance
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,45,30-50%,4.4,"i then got the same download speed using this device i was previously getting on my other network interfaces on windows and mac, but now on ubuntu.the device itself is a bit sensitive to the antenna direction when it comes to the impact on download speed.",6,download speed,neutral,performance
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,45,30-50%,4.4,"there is also a driver of realtek which you might need to install to make it work in your kali machine.i have given it 4 stars just because the performance if not good as the alpha adapters which is reasonable for this range of price but in this range and for as a beginner it is the best adapter you can buy.,nice product.",10,performance,positive,performance
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,45,30-50%,4.4,"there is also a driver of realtek which you might need to install to make it work in your kali machine.i have given it 4 stars just because the performance if not good as the alpha adapters which is reasonable for this range of price but in this range and for as a beginner it is the best adapter you can buy.,nice product.",10,price,positive,value
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,45,30-50%,4.4,"my pc is now 5g price is too high so giving 4 star,got the wi fi in one of the rooms from 0 to 70 .",12,g price,neutral,value
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,45,30-50%,4.4,"but when it for the first time, you need to install the driver on your desktop laptop from the tp link website to make it operational, which is not very well explained in the manual.,this product is very good,i have buy this product because my laptop don t support wifi 5ghz band, in 2.5 ghz i receive 30 40mbps speed only but my broadband plan is 150mbps.1.",16,speed,neutral,performance
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,45,30-50%,4.4,"i receive 170mbps download and 110mbps upload speed on 5ghz and my broadband plan is 150mbps.i highly recommend this product.,i purchase this product for company use and this is a very good product.",20,speed,positive,performance
B013B2WGT6,"HealthSense Chef-Mate KS 33 Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cooking with Free Bowl, 1 Year Warranty & Batteries Included",Home&Kitchen,42,30-50%,4.3,related to packaging i am little disappointed because i was not able to make out of its new or used product.,1,packaging,neutral,delivery
